Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
21015,95,Electric Utility,2.0,2.0,2.0,Petroleum Liquids,9,2000, , ,OP,56.460976,-132.379400
21015,95,Electric Utility,2.0,2.0,2.0,Petroleum Liquids,6,2002, , ,OP,56.460976,-132.379400
21015,95,Electric Utility,2.5,2.5,2.5,Petroleum Liquids,6,1987, , ,OP,56.460976,-132.379400
3522,96,Electric Utility,16.0,18.9,19.6,Natural Gas Fired Combustion Turbine,1,1968, , ,OP,61.186100,-151.035600
3522,96,Electric Utility,16.0,18.9,19.6,Natural Gas Fired Combustion Turbine,1,1968, , ,OP,61.186100,-151.035600
3522,96,Electric Utility,59.1,58.0,64.8,Natural Gas Fired Combustion Turbine,5,1972, , ,OP,61.186100,-151.035600
3522,96,Electric Utility,68.3,61.4,68.7,Natural Gas Fired Combustion Turbine,10,1975, , ,OP,61.186100,-151.035600
3522,96,Electric Utility,76.5,72.6,79.2,Natural Gas Fired Combustion Turbine,5,1976, , ,OP,61.186100,-151.035600
3522,96,Electric Utility,76.5,70.6,80.1,Natural Gas Fired Combustion Turbine,12,1978, , ,OP,61.186100,-151.035600
15500,99,Electric Utility,88.9,67.0,81.1,Natural Gas Fired Combustion Turbine,11,1981, , ,OP,47.079722,-122.365000
15500,99,Electric Utility,88.9,67.0,81.1,Natural Gas Fired Combustion Turbine,11,1981, , ,OP,47.079722,-122.365000
16572,100,Electric Utility,1.4,1.4,1.4,Conventional Hydroelectric,9,1981, , ,OP,33.466477,-111.781100
